36.064602,-79.896346,1579209010995.931152,36.064602,-79.896346
36.064641,-79.896298,1579209011995.910889,36.064632,-79.896309
36.064681,-79.896232,1579209012995.891602,36.064670,-79.896249
36.064718,-79.896148,1579209013995.872070,36.064707,-79.896171
36.064746,-79.896058,1579209014995.852539,36.064737,-79.896083
36.064763,-79.895973,1579209015995.833496,36.064757,-79.895998
36.064768,-79.895860,1579209016995.813965,36.064765,-79.895891
36.064768,-79.895764,1579209017995.794678,36.064768,-79.895793
36.064768,-79.895665,1579209018995.774658,36.064768,-79.895694
36.064766,-79.895581,1579209019995.755615,36.064767,-79.895607
