latitude,longitude,speed,heading,accuracy,altitude,time
36.064327703822464,-79.89642717882981,4.25,58.0078125,5,266.2375553343449,1579209000996.1238
36.06437569021812,-79.89639775834968,1.159999966621399,27.0703125,5,266.0259312360382,1579209004996.0476
36.06446160472563,-79.89640261985352,4.010000228881836,348.75,5,265.94964545279254,1579209007995.9893
36.06450711845985,-79.89640815190961,5.059999942779541,358.9453125,5,265.89801121495736,1579209008995.9692
36.06455749369791,-79.89640932537606,5.590000152587891,358.9453125,5,265.8084403293803,1579209009995.95
36.064601924257616,-79.89634632131009,6.5,42.706329345703125,5,265.7527006659675,1579209010995.9312
36.06464130763089,-79.89629778732473,6.5,51.31192398071289,5,265.70412398875516,1579209011995.911
36.06468098853993,-79.89623196346776,7.440000057220459,59.29571533203125,5,265.69906672234987,1579209012995.8916
36.06471822621113,-79.89614770969973,8.079999923706055,66.46293640136719,5,265.4886274961002,1579209013995.872
36.064745638560886,-79.89605785943161,9.25,71.64075469970703,5,265.2690164258976,1579209014995.8525
36.064763007075705,-79.89597345055847,9.420000076293945,76.81575775146484,5,265.0357481818523,1579209015995.8335
36.06476776855817,-79.89586034761862,9.420000076293945,89.62228393554688,5,264.62580338071274,1579209016995.814
36.06476828167901,-79.89576448497053,8.9399995803833,89.62228393554688,5,264.669118731479,1579209017995.7947
36.06476772705534,-79.89566541858807,8.5,91.1152572631836,5,264.59106730671897,1579209018995.7747
36.064766399288764,-79.89558141491148,7.650000095367432,91.1152572631836,5,264.78734407028725,1579209019995.7556
36.064765129315994,-79.89550106766973,6.840000152587891,91.1152572631836,5,265.00981107421194,1579209020995.736
36.06476411610055,-79.89543696466819,5.480000019073486,91.1152572631836,5,265.2351642874511,1579209021995.716
36.06476299528002,-79.89536605382665,1.8200000524520874,91.1152572631836,5,266.1369013087218,1579209023995.6794
36.06476211559088,-79.89531039862067,4.389999866485596,91.1152572631836,5,266.77400920894706,1579209025995.64
36.06460323506751,-79.89523735618587,6.019999980926514,180.24696350097656,5,267.1129789339304,1579209027995.601
36.064535318416375,-79.89523771673652,7.679999828338623,180.24696350097656,5,267.258922982944,1579209028995.581
